Source Term,Mapped Term Label,Mapped Term IRI,Mapped Ontology IRI,Mapping Score
other infestations,mite infestation,http://purl.obolibrary.org/obo/MONDO_0004389,http://www.ebi.ac.uk/efo/efo.owl#,0.7221399363737446
other infestations,lice infestation,http://purl.obolibrary.org/obo/MONDO_0003472,http://www.ebi.ac.uk/efo/efo.owl#,0.6972399780990783
other infestations,tick infestation,http://www.ebi.ac.uk/efo/EFO_0007508,http://www.ebi.ac.uk/efo/efo.owl#,0.6867173355285654
fibrosis cirrhosis of liver,cirrhosis of liver,http://www.ebi.ac.uk/efo/EFO_0001422,http://www.ebi.ac.uk/efo/efo.owl#,0.8327783259509944
fibrosis cirrhosis of liver,biliary liver cirrhosis,http://www.ebi.ac.uk/efo/EFO_0004267,http://www.ebi.ac.uk/efo/efo.owl#,0.6959059273529943
fibrosis cirrhosis of liver,fibrosis,http://www.ebi.ac.uk/efo/EFO_0006890,http://www.ebi.ac.uk/efo/efo.owl#,0.6459648933464991
polyarthrosis,polyarticular arthritis,http://purl.obolibrary.org/obo/MONDO_0024280,http://www.ebi.ac.uk/efo/efo.owl#,0.6618404809838325
polyarthrosis,Hemarthrosis,http://www.ebi.ac.uk/efo/EFO_1001344,http://www.ebi.ac.uk/efo/efo.owl#,0.5265045677699361
polyarthrosis,Polyarteritis Nodosa,http://www.ebi.ac.uk/efo/EFO_0009012,http://www.ebi.ac.uk/efo/efo.owl#,0.521345434842008
supervision of normal pregnancy,pregnancy,http://www.ebi.ac.uk/efo/EFO_0002950,http://www.ebi.ac.uk/efo/efo.owl#,0.5822538104423567
unspecified contracted kidney,kidney,http://purl.obolibrary.org/obo/UBERON_0002113,http://www.ebi.ac.uk/efo/efo.owl#,0.5868956892613334
unspecified contracted kidney,kidney cell,http://purl.obolibrary.org/obo/CL_1000497,http://www.ebi.ac.uk/efo/efo.owl#,0.5262470153409073
unspecified contracted kidney,kidney transplant,http://www.ebi.ac.uk/efo/EFO_0010134,http://www.ebi.ac.uk/efo/efo.owl#,0.5174755266942767
infections of genitourinary tract pregnancy,urinary tract infection,http://www.ebi.ac.uk/efo/EFO_0003103,http://www.ebi.ac.uk/efo/efo.owl#,0.6297470054131747
infections of genitourinary tract pregnancy,bacterial urinary tract infection,http://purl.obolibrary.org/obo/MONDO_0005247,http://www.ebi.ac.uk/efo/efo.owl#,0.5364084476696341
infections of genitourinary tract pregnancy,genitourinary system,http://purl.obolibrary.org/obo/UBERON_0004122,http://www.ebi.ac.uk/efo/efo.owl#,0.5284774256323581
sequelae of cerebrovascular disease,cerebrovascular disorder,http://www.ebi.ac.uk/efo/EFO_0003763,http://www.ebi.ac.uk/efo/efo.owl#,0.6729155408409574
sequelae of cerebrovascular disease,basal ganglia cerebrovascular disease,http://www.ebi.ac.uk/efo/EFO_1000640,http://www.ebi.ac.uk/efo/efo.owl#,0.621895203784147
sequelae of cerebrovascular disease,neurovascular disease,http://purl.obolibrary.org/obo/MONDO_0043218,http://www.ebi.ac.uk/efo/efo.owl#,0.6153440760079076
other acute ischaemic heart diseases,ischemic disease,http://purl.obolibrary.org/obo/MONDO_0005053,http://www.ebi.ac.uk/efo/efo.owl#,0.5573276064329754
other acute ischaemic heart diseases,acute disease,http://purl.obolibrary.org/obo/MONDO_0020683,http://www.ebi.ac.uk/efo/efo.owl#,0.5291993469142534
other acute ischaemic heart diseases,heart disease,http://www.ebi.ac.uk/efo/EFO_0003777,http://www.ebi.ac.uk/efo/efo.owl#,0.5077707269334358
osteoporosis diseases classified elsewhere,osteoporosis,http://www.ebi.ac.uk/efo/EFO_0003882,http://www.ebi.ac.uk/efo/efo.owl#,0.649602399609425
mental behavioural disorders due to use of sedatives hypnotics,mental or behavioural disorder,http://www.ebi.ac.uk/efo/EFO_0000677,http://www.ebi.ac.uk/efo/efo.owl#,0.5732081685800078
mental behavioural disorders due to use of hallucinogens,mental or behavioural disorder,http://www.ebi.ac.uk/efo/EFO_0000677,http://www.ebi.ac.uk/efo/efo.owl#,0.5967287105749612
mental behavioural disorders due to use of volatile solvents,mental or behavioural disorder,http://www.ebi.ac.uk/efo/EFO_0000677,http://www.ebi.ac.uk/efo/efo.owl#,0.6036812048604376
fracture of lumbar spine pelvis,fracture of pelvis,http://www.ebi.ac.uk/efo/EFO_0009622,http://www.ebi.ac.uk/efo/efo.owl#,0.6812012954889567
fracture of lumbar spine pelvis,lumbar puncture,http://www.ebi.ac.uk/efo/EFO_0010960,http://www.ebi.ac.uk/efo/efo.owl#,0.541850138032218
fracture of lumbar spine pelvis,spinal fracture,http://www.ebi.ac.uk/efo/EFO_0003902,http://www.ebi.ac.uk/efo/efo.owl#,0.5342130599011099
hereditary idiopathic neuropathy,idiopathic,http://purl.obolibrary.org/obo/MONDO_0700005,http://www.ebi.ac.uk/efo/efo.owl#,0.7160695960202823
hereditary idiopathic neuropathy,idiopathic cardiomyopathy,http://www.ebi.ac.uk/efo/EFO_0000767,http://www.ebi.ac.uk/efo/efo.owl#,0.6726427643790551
hereditary idiopathic neuropathy,neuropathy,http://www.ebi.ac.uk/efo/EFO_0004149,http://www.ebi.ac.uk/efo/efo.owl#,0.6703766517794786
other extrapyramidal movement disorders,extrapyramidal and movement disease,http://purl.obolibrary.org/obo/MONDO_0001815,http://www.ebi.ac.uk/efo/efo.owl#,0.8638659347413217
other extrapyramidal movement disorders,movement disorder,http://www.ebi.ac.uk/efo/EFO_0004280,http://www.ebi.ac.uk/efo/efo.owl#,0.5579658014416771
other extrapyramidal movement disorders,Proximal myopathy with extrapyramidal signs,http://www.orpha.net/ORDO/Orphanet_401768,http://www.ebi.ac.uk/efo/efo.owl#,0.5184847477781335
other congenital musculoskeletal deformities,musculoskeletal system,http://purl.obolibrary.org/obo/UBERON_0002204,http://www.ebi.ac.uk/efo/efo.owl#,0.6304305814818303
other congenital musculoskeletal deformities,musculoskeletal system disease,http://www.ebi.ac.uk/efo/EFO_0009676,http://www.ebi.ac.uk/efo/efo.owl#,0.5845590083749027
other congenital musculoskeletal deformities,musculoskeletal system cancer,http://purl.obolibrary.org/obo/MONDO_0000637,http://www.ebi.ac.uk/efo/efo.owl#,0.5816032990107077
carrier of infectious disease,infectious disease,http://www.ebi.ac.uk/efo/EFO_0005741,http://www.ebi.ac.uk/efo/efo.owl#,0.7517308530471276
carrier of infectious disease,eye infectious disease,http://purl.obolibrary.org/obo/MONDO_0043885,http://www.ebi.ac.uk/efo/efo.owl#,0.6270989906050958
carrier of infectious disease,infectious disease or post-infectious disorder,http://purl.obolibrary.org/obo/MONDO_0100336,http://www.ebi.ac.uk/efo/efo.owl#,0.6182331164649245
premature rupture of membranes,Premature rupture of membranes,http://purl.obolibrary.org/obo/HP_0001788,http://www.ebi.ac.uk/efo/efo.owl#,0.9794085308715794
premature rupture of membranes,preterm premature rupture of the membranes,http://purl.obolibrary.org/obo/MONDO_0012511,http://www.ebi.ac.uk/efo/efo.owl#,0.879121329499038
premature rupture of membranes,Tendon rupture,http://purl.obolibrary.org/obo/HP_0100550,http://www.ebi.ac.uk/efo/efo.owl#,0.5140528000944499
anogenital herpesviral infection,human herpesvirus 8 infection,http://www.ebi.ac.uk/efo/EFO_0002612,http://www.ebi.ac.uk/efo/efo.owl#,0.6006791785450286
anogenital herpesviral infection,Herpesviridae infectious disease,http://www.ebi.ac.uk/efo/EFO_0007309,http://www.ebi.ac.uk/efo/efo.owl#,0.5608671790340972
anogenital herpesviral infection,genital herpes,http://www.ebi.ac.uk/efo/EFO_0007282,http://www.ebi.ac.uk/efo/efo.owl#,0.5385952041637388
early syphilis,syphilis,http://www.ebi.ac.uk/efo/EFO_0007504,http://www.ebi.ac.uk/efo/efo.owl#,0.7785466087783657
early syphilis,latent syphilis,http://www.ebi.ac.uk/efo/EFO_0007340,http://www.ebi.ac.uk/efo/efo.owl#,0.6549058490104057
early syphilis,congenital syphilis,http://www.ebi.ac.uk/efo/EFO_0007219,http://www.ebi.ac.uk/efo/efo.owl#,0.6009206719205522
subclinical iodine deficiency hypothyroidism,Iodine Deficiency Hypothyroidism,http://www.ebi.ac.uk/efo/EFO_0008614,http://www.ebi.ac.uk/efo/efo.owl#,0.8269591740093923
subclinical iodine deficiency hypothyroidism,hypothyroidism,http://www.ebi.ac.uk/efo/EFO_0004705,http://www.ebi.ac.uk/efo/efo.owl#,0.5408447340793949
disorders of vitreous body globe diseases classified elsewhere,vitreous body disease,http://www.ebi.ac.uk/efo/EFO_0008624,http://www.ebi.ac.uk/efo/efo.owl#,0.626106031453217
disorders of vitreous body globe diseases classified elsewhere,vitreous disease,http://purl.obolibrary.org/obo/MONDO_0004860,http://www.ebi.ac.uk/efo/efo.owl#,0.5526491965979166
disorders of vitreous body globe diseases classified elsewhere,globe disease,http://purl.obolibrary.org/obo/MONDO_0001524,http://www.ebi.ac.uk/efo/efo.owl#,0.5362291305482644
polyarteritis nodosa related conditions,Polyarteritis Nodosa,http://www.ebi.ac.uk/efo/EFO_0009012,http://www.ebi.ac.uk/efo/efo.owl#,0.8060224304265241
polyarteritis nodosa related conditions,"polyarteritis nodosa, childhoood-onset",http://www.ebi.ac.uk/efo/EFO_0009295,http://www.ebi.ac.uk/efo/efo.owl#,0.5075110386768994
sequelae of inflammatory diseases of cns,inflammatory disease,http://www.ebi.ac.uk/efo/EFO_0009903,http://www.ebi.ac.uk/efo/efo.owl#,0.6523145807073437
sequelae of inflammatory diseases of cns,inflammatory skin disease,http://www.ebi.ac.uk/efo/EFO_1000636,http://www.ebi.ac.uk/efo/efo.owl#,0.5793595266245772
sequelae of inflammatory diseases of cns,brain inflammatory disease,http://purl.obolibrary.org/obo/MONDO_0015144,http://www.ebi.ac.uk/efo/efo.owl#,0.5722503065504954
respiratory tuberculosis not confimed,Tuberculosis,http://www.orpha.net/ORDO/Orphanet_3389,http://www.ebi.ac.uk/efo/efo.owl#,0.605829176572397
respiratory tuberculosis not confimed,renal tuberculosis,http://www.ebi.ac.uk/efo/EFO_0007463,http://www.ebi.ac.uk/efo/efo.owl#,0.5601165645558878
respiratory tuberculosis not confimed,oral tuberculosis,http://www.ebi.ac.uk/efo/EFO_0007407,http://www.ebi.ac.uk/efo/efo.owl#,0.5452696215475483
disorders of conjunctiva diseases classified elsewhere,Conjunctival Disorder,http://www.ebi.ac.uk/efo/EFO_1000203,http://www.ebi.ac.uk/efo/efo.owl#,0.6180147697238345
disorders of conjunctiva diseases classified elsewhere,conjunctiva,http://purl.obolibrary.org/obo/UBERON_0001811,http://www.ebi.ac.uk/efo/efo.owl#,0.6081254459163985
disorders of conjunctiva diseases classified elsewhere,Rare conjunctival disease,http://www.orpha.net/ORDO/Orphanet_98610,http://www.ebi.ac.uk/efo/efo.owl#,0.5746805329403627
congenital deformities of hip,Congenital deformities of fingers,http://www.orpha.net/ORDO/Orphanet_294947,http://www.ebi.ac.uk/efo/efo.owl#,0.7664043909440506
congenital deformities of hip,Congenital deformities of limbs,http://www.orpha.net/ORDO/Orphanet_294944,http://www.ebi.ac.uk/efo/efo.owl#,0.7546463240555853
congenital deformities of hip,Spinal deformities,http://purl.obolibrary.org/obo/HP_0008443,http://www.ebi.ac.uk/efo/efo.owl#,0.6054714941365166
neonatal jaundice from other causes,neonatal jaundice,http://www.ebi.ac.uk/efo/EFO_1000739,http://www.ebi.ac.uk/efo/efo.owl#,0.7828206321807121
neonatal jaundice from other causes,Jaundice,http://purl.obolibrary.org/obo/HP_0000952,http://www.ebi.ac.uk/efo/efo.owl#,0.6043258521664395
neonatal jaundice from other causes,death from other causes,http://www.ebi.ac.uk/efo/EFO_0030051,http://www.ebi.ac.uk/efo/efo.owl#,0.5330954717703795
urethral stricture,Urethral stricture,http://purl.obolibrary.org/obo/HP_0012227,http://www.ebi.ac.uk/efo/efo.owl#,0.9907761861327966
urethral stricture,stricture,http://www.ebi.ac.uk/efo/EFO_0006818,http://www.ebi.ac.uk/efo/efo.owl#,0.7173127814811798
urethral stricture,urethra,http://purl.obolibrary.org/obo/UBERON_0000057,http://www.ebi.ac.uk/efo/efo.owl#,0.6159490958253835
other specific arthropathies,Arthropathy,http://purl.obolibrary.org/obo/HP_0003040,http://www.ebi.ac.uk/efo/efo.owl#,0.614247722077228
conductive sensorineural hearing loss,sensorineural hearing loss,http://www.ebi.ac.uk/efo/EFO_1001176,http://www.ebi.ac.uk/efo/efo.owl#,0.8437975610647546
conductive sensorineural hearing loss,"hearing loss, mixed conductive-sensorineural",http://purl.obolibrary.org/obo/MONDO_0044001,http://www.ebi.ac.uk/efo/efo.owl#,0.7592415052516088
conductive sensorineural hearing loss,hearing loss,http://www.ebi.ac.uk/efo/EFO_0004238,http://www.ebi.ac.uk/efo/efo.owl#,0.5916152194932258
other injuries of shoulder upper arm,shoulder,http://purl.obolibrary.org/obo/UBERON_0001467,http://www.ebi.ac.uk/efo/efo.owl#,0.6262883541990357
other injuries of shoulder upper arm,Shoulder pain,http://purl.obolibrary.org/obo/HP_0030834,http://www.ebi.ac.uk/efo/efo.owl#,0.5497167459715662
effects of heat light,light,http://www.ebi.ac.uk/efo/EFO_0000568,http://www.ebi.ac.uk/efo/efo.owl#,0.5806752457607937
other disorders of middle ear mastoid,middle ear,http://purl.obolibrary.org/obo/UBERON_0001756,http://www.ebi.ac.uk/efo/efo.owl#,0.678519027177186
other disorders of middle ear mastoid,middle ear disease,http://purl.obolibrary.org/obo/MONDO_0003276,http://www.ebi.ac.uk/efo/efo.owl#,0.6367235913276323
other disorders of middle ear mastoid,middle ear cancer,http://purl.obolibrary.org/obo/MONDO_0003275,http://www.ebi.ac.uk/efo/efo.owl#,0.5966170810024379
atypical virus infections of cns,Lentivirus Infections,http://www.ebi.ac.uk/efo/EFO_1001357,http://www.ebi.ac.uk/efo/efo.owl#,0.5279650154198564
female genital prolapse,prolapse of female genital organ,http://purl.obolibrary.org/obo/MONDO_0001592,http://www.ebi.ac.uk/efo/efo.owl#,0.8520569264556697
female genital prolapse,Rectal prolapse,http://purl.obolibrary.org/obo/HP_0002035,http://www.ebi.ac.uk/efo/efo.owl#,0.6359954335796423
female genital prolapse,uterine prolapse,http://www.ebi.ac.uk/efo/EFO_1001864,http://www.ebi.ac.uk/efo/efo.owl#,0.5428891624688224
cleft palate with cleft lip,Cleft palate,http://purl.obolibrary.org/obo/HP_0000175,http://www.ebi.ac.uk/efo/efo.owl#,0.8637687184537439
cleft palate with cleft lip,cleft palate,http://purl.obolibrary.org/obo/MONDO_0016064,http://www.ebi.ac.uk/efo/efo.owl#,0.8637687184537439
cleft palate with cleft lip,cleft lip,http://www.ebi.ac.uk/efo/EFO_0003959,http://www.ebi.ac.uk/efo/efo.owl#,0.8195956974893386
congenital malformations of nose,congenital heart malformation,http://www.ebi.ac.uk/efo/EFO_0005269,http://www.ebi.ac.uk/efo/efo.owl#,0.7272264199130942
congenital malformations of nose,congenital mitral malformation,http://www.ebi.ac.uk/efo/EFO_0009539,http://www.ebi.ac.uk/efo/efo.owl#,0.7267877585921578
congenital malformations of nose,congenital limb malformation,http://purl.obolibrary.org/obo/MONDO_0019054,http://www.ebi.ac.uk/efo/efo.owl#,0.7202388828317615
disorders of refraction accommodation,eye accommodation disease,http://purl.obolibrary.org/obo/MONDO_0000926,http://www.ebi.ac.uk/efo/efo.owl#,0.661973980275658
disorders of refraction accommodation,Accommodative esotropia,http://purl.obolibrary.org/obo/HP_0020046,http://www.ebi.ac.uk/efo/efo.owl#,0.5110468124922651
congenital malformations of gallbladder bile ducts liver,gallbladder disease,http://www.ebi.ac.uk/efo/EFO_0003832,http://www.ebi.ac.uk/efo/efo.owl#,0.5334477716139894
congenital malformations of gallbladder bile ducts liver,gallbladder cancer,http://purl.obolibrary.org/obo/MONDO_0005411,http://www.ebi.ac.uk/efo/efo.owl#,0.5275904579391336
congenital malformations of gallbladder bile ducts liver,Gallbladder Adenoma,http://www.ebi.ac.uk/efo/EFO_1000263,http://www.ebi.ac.uk/efo/efo.owl#,0.5079926434362608
congenital malformations of lung,congenital heart malformation,http://www.ebi.ac.uk/efo/EFO_0005269,http://www.ebi.ac.uk/efo/efo.owl#,0.7014224661360543
congenital malformations of lung,congenital mitral malformation,http://www.ebi.ac.uk/efo/EFO_0009539,http://www.ebi.ac.uk/efo/efo.owl#,0.7009993697012924
congenital malformations of lung,congenital limb malformation,http://purl.obolibrary.org/obo/MONDO_0019054,http://www.ebi.ac.uk/efo/efo.owl#,0.6946828657068079
other congenital malformations of peripheral vascular system,congenital vascular malformation,http://purl.obolibrary.org/obo/MONDO_0024287,http://www.ebi.ac.uk/efo/efo.owl#,0.737361493797062
other congenital malformations of peripheral vascular system,peripheral vascular disease,http://www.ebi.ac.uk/efo/EFO_0003875,http://www.ebi.ac.uk/efo/efo.owl#,0.6197617025111176
other congenital malformations of peripheral vascular system,vascular malformation,http://www.ebi.ac.uk/efo/EFO_0006888,http://www.ebi.ac.uk/efo/efo.owl#,0.6090917498264008
varicose veins of lower extremities,Varicose veins,http://purl.obolibrary.org/obo/HP_0002619,http://www.ebi.ac.uk/efo/efo.owl#,0.6755496011609216
varicose veins of lower extremities,lower extremity fracture,http://www.ebi.ac.uk/efo/EFO_0009512,http://www.ebi.ac.uk/efo/efo.owl#,0.5065378392830069
varicose veins of other sites,Varicose veins,http://purl.obolibrary.org/obo/HP_0002619,http://www.ebi.ac.uk/efo/efo.owl#,0.8347818424099667
varicose veins of other sites,varicose disease,http://purl.obolibrary.org/obo/MONDO_0008638,http://www.ebi.ac.uk/efo/efo.owl#,0.5715029818847414
acute lymphadenitis,lymphadenitis,http://purl.obolibrary.org/obo/MONDO_0002052,http://www.ebi.ac.uk/efo/efo.owl#,0.840241479181391
acute lymphadenitis,Lymphadenitis,http://purl.obolibrary.org/obo/HP_0002840,http://www.ebi.ac.uk/efo/efo.owl#,0.840241479181391
acute lymphadenitis,Lymphadenopathy,http://purl.obolibrary.org/obo/HP_0002716,http://www.ebi.ac.uk/efo/efo.owl#,0.5902656149509858
other abnormal findings urine,abnormal,http://purl.obolibrary.org/obo/PATO_0000460,http://www.ebi.ac.uk/efo/efo.owl#,0.5477480563923286
other abnormal findings urine,Abnormality of finger,http://purl.obolibrary.org/obo/HP_0001167,http://www.ebi.ac.uk/efo/efo.owl#,0.5117660791559915
other abnormal findings urine,Abnormal urine cytology,http://purl.obolibrary.org/obo/HP_0012614,http://www.ebi.ac.uk/efo/efo.owl#,0.5104819068509354
unspecified abdominal hernia,Hernia of the abdominal wall,http://purl.obolibrary.org/obo/HP_0004299,http://www.ebi.ac.uk/efo/efo.owl#,0.6323107601254934
unspecified abdominal hernia,Abdominal colic,http://purl.obolibrary.org/obo/HP_0011848,http://www.ebi.ac.uk/efo/efo.owl#,0.5519307972707537
unspecified abdominal hernia,Abdominal pain,http://purl.obolibrary.org/obo/HP_0002027,http://www.ebi.ac.uk/efo/efo.owl#,0.5486371919589634
unspecified viral hepatitis,animal viral hepatitis,http://www.ebi.ac.uk/efo/EFO_0007540,http://www.ebi.ac.uk/efo/efo.owl#,0.641899989688453
unspecified viral hepatitis,Hepatitis,http://purl.obolibrary.org/obo/HP_0012115,http://www.ebi.ac.uk/efo/efo.owl#,0.6144446953285397
unspecified viral hepatitis,Hepatitis C virus,http://purl.obolibrary.org/obo/NCBITaxon_11103,http://www.ebi.ac.uk/efo/efo.owl#,0.5793095305315894
other congenital malformations of digestive system,digestive system,http://purl.obolibrary.org/obo/UBERON_0001007,http://www.ebi.ac.uk/efo/efo.owl#,0.662327441808794
other congenital malformations of digestive system,digestive system disease,http://www.ebi.ac.uk/efo/EFO_0000405,http://www.ebi.ac.uk/efo/efo.owl#,0.5959611765920949
other congenital malformations of digestive system,Genetic digestive tract malformation,http://www.orpha.net/ORDO/Orphanet_183545,http://www.ebi.ac.uk/efo/efo.owl#,0.5934510516329647
other congenital malformations of circulatory system,circulatory system,http://purl.obolibrary.org/obo/UBERON_0001009,http://www.ebi.ac.uk/efo/efo.owl#,0.7073036946912247
other congenital malformations of circulatory system,congenital vascular malformation,http://purl.obolibrary.org/obo/MONDO_0024287,http://www.ebi.ac.uk/efo/efo.owl#,0.5708295902811005
other congenital malformations of circulatory system,congenital heart malformation,http://www.ebi.ac.uk/efo/EFO_0005269,http://www.ebi.ac.uk/efo/efo.owl#,0.5473706866766529
other congenital malformations of skin,congenital heart malformation,http://www.ebi.ac.uk/efo/EFO_0005269,http://www.ebi.ac.uk/efo/efo.owl#,0.7006379177089305
other congenital malformations of skin,congenital mitral malformation,http://www.ebi.ac.uk/efo/EFO_0009539,http://www.ebi.ac.uk/efo/efo.owl#,0.7002152945119938
other congenital malformations of skin,congenital limb malformation,http://purl.obolibrary.org/obo/MONDO_0019054,http://www.ebi.ac.uk/efo/efo.owl#,0.6939058555938549
pneumoconiosis due to other inorganic dusts,pneumoconiosis,http://www.orpha.net/ORDO/Orphanet_182098,http://www.ebi.ac.uk/efo/efo.owl#,0.6345370238029875
disorders of lacrimal system orbit diseases classified elsewhere,Rare lacrimal system disease,http://www.orpha.net/ORDO/Orphanet_98602,http://www.ebi.ac.uk/efo/efo.owl#,0.5942115801030782
alzheimer s disease,Alzheimer disease,http://purl.obolibrary.org/obo/MONDO_0004975,http://www.ebi.ac.uk/efo/efo.owl#,0.9600010277827765
alzheimer s disease,familial Alzheimer disease,http://purl.obolibrary.org/obo/MONDO_0100087,http://www.ebi.ac.uk/efo/efo.owl#,0.8454753465998643
alzheimer s disease,late-onset Alzheimer's disease,http://www.ebi.ac.uk/efo/EFO_1001870,http://www.ebi.ac.uk/efo/efo.owl#,0.7236015986462485
endocarditis valve unspecified,endocarditis,http://www.ebi.ac.uk/efo/EFO_0000465,http://www.ebi.ac.uk/efo/efo.owl#,0.689794859983757
endocarditis valve unspecified,infective endocarditis,http://purl.obolibrary.org/obo/MONDO_0000565,http://www.ebi.ac.uk/efo/efo.owl#,0.5777809807897277
endocarditis valve unspecified,bacterial endocarditis,http://www.ebi.ac.uk/efo/EFO_1000830,http://www.ebi.ac.uk/efo/efo.owl#,0.5413795017329504
family history of other conditions,family history,http://www.ebi.ac.uk/efo/EFO_0000493,http://www.ebi.ac.uk/efo/efo.owl#,0.8040422344272712
family history of other conditions,family history of cancer,http://www.ebi.ac.uk/efo/EFO_0009640,http://www.ebi.ac.uk/efo/efo.owl#,0.7201961611376103
family history of other conditions,family history of lung cancer,http://www.ebi.ac.uk/efo/EFO_0006953,http://www.ebi.ac.uk/efo/efo.owl#,0.6401533544433577
unspecified maternal hypertension,hypertension,http://www.ebi.ac.uk/efo/EFO_0000537,http://www.ebi.ac.uk/efo/efo.owl#,0.6657755019682801
unspecified maternal hypertension,renal hypertension,http://www.ebi.ac.uk/efo/EFO_1002039,http://www.ebi.ac.uk/efo/efo.owl#,0.6273545587965939
